timestamp_utc,origem,destino,data_ida,data_volta,dias,preco_total_brl,preco_por_pessoa_brl,moeda_origem,paradas,companhia,rotulo_google
2026-09-10T00:56:59Z,CNF,JFK,2027-03-31,2027-04-08,8,29138.4,4856.4,USD,1,"Gol, American",
2026-09-10T00:57:18Z,CNF,JFK,2027-03-25,2027-04-02,8,31881.6,5313.6,USD,1,"Gol, American",
2026-09-10T00:57:23Z,CNF,JFK,2027-03-19,2027-03-27,8,29106.0,4851.0,USD,1,"Gol, American",
2026-09-10T00:57:30Z,CNF,JFK,2027-03-31,2027-04-12,12,29138.4,4856.4,USD,1,LATAM,
2026-09-10T00:57:36Z,CNF,JFK,2027-03-25,2027-04-06,12,33172.2,5528.7,USD,1,"LATAM, Delta",
2026-09-10T00:57:41Z,CNF,JFK,2027-03-01,2027-03-13,12,29106.0,4851.0,USD,1,"Gol, American",
2026-09-10T00:57:55Z,CNF,JFK,2027-03-07,2027-03-19,12,29106.0,4851.0,USD,1,"Gol, American",high
2026-09-10T00:58:00Z,CNF,JFK,2027-03-13,2027-03-21,8,29138.4,4856.4,USD,1,LATAM,
2026-09-10T05:45:07Z,CNF,EWR,2027-03-01,2027-03-09,8,34614.0,5769.0,USD,1,"Gol, United",
2026-09-10T05:45:15Z,CNF,EWR,2027-03-19,2027-03-27,8,35807.4,5967.9,USD,1,"Gol, United",
2026-09-10T05:45:22Z,CNF,EWR,2027-03-07,2027-03-15,8,35807.4,5967.9,USD,1,"Azul, United",
2026-09-10T05:45:58Z,CNF,EWR,2027-03-01,2027-03-13,12,29359.8,4893.3,USD,2,"Gol, American",
2026-09-10T05:46:05Z,CNF,EWR,2027-03-13,2027-03-21,8,38561.4,6426.9,USD,1,"Gol, United",
2026-09-10T05:46:10Z,CNF,EWR,2027-03-19,2027-03-31,12,29349.0,4891.5,USD,2,"Gol, American",
2026-09-10T05:48:01Z,CNF,EWR,2027-03-25,2027-04-02,8,29359.8,4893.3,USD,2,"Gol, American",
2026-09-10T14:56:24Z,CNF,LGA,2027-03-31,2027-04-08,8,29494.8,4915.8,USD,2,"LATAM, Delta",
2026-09-10T14:56:31Z,CNF,LGA,2027-03-01,2027-03-13,12,29165.4,4860.9,USD,2,"Gol, American",
2026-09-10T14:56:36Z,CNF,LGA,2027-03-25,2027-04-02,8,29170.8,4861.8,USD,2,"Gol, American",
2026-09-10T14:56:41Z,CNF,LGA,2027-03-19,2027-03-27,8,29165.4,4860.9,USD,2,"Gol, American",
2026-09-10T14:56:46Z,CNF,LGA,2027-03-25,2027-04-06,12,29165.4,4860.9,USD,2,"Gol, American",
2026-09-10T14:57:15Z,CNF,LGA,2027-03-13,2027-03-21,8,29197.8,4866.3,USD,2,"Gol, American",
2026-09-10T14:57:22Z,CNF,LGA,2027-03-31,2027-04-12,12,29165.4,4860.9,USD,2,"Gol, American",
2026-09-10T14:57:40Z,CNF,LGA,2027-03-13,2027-03-25,12,29494.8,4915.8,USD,2,"LATAM, Delta",
2026-09-10T18:14:48Z,CNF,YYZ,2027-03-07,2027-03-19,12,30337.2,5056.2,USD,2,"Gol, American",
2026-09-10T18:14:53Z,CNF,YYZ,2027-03-07,2027-03-15,8,33150.6,5525.1,USD,2,"Gol, American",
2026-09-10T18:15:32Z,CNF,YYZ,2027-03-25,2027-04-06,12,30364.2,5060.7,USD,2,"Gol, American",
2026-09-10T18:15:39Z,CNF,YYZ,2027-03-31,2027-04-12,12,33183.0,5530.5,USD,2,"Gol, American",
2026-09-10T18:15:47Z,CNF,YYZ,2027-03-01,2027-03-09,8,34365.6,5727.6,USD,2,"Azul, United",
2026-09-10T18:15:54Z,CNF,YYZ,2027-03-25,2027-04-02,8,30321.0,5053.5,USD,2,"Gol, American",
2026-09-10T18:16:04Z,CNF,YYZ,2027-03-01,2027-03-13,12,41472.0,6912.0,USD,1,"Gol, Air Canada",
2026-09-10T18:16:14Z,CNF,YYZ,2027-03-19,2027-03-27,8,40753.8,6792.3,USD,2,"LATAM, WestJet",
2026-09-11T08:51:39Z,CNF,JFK,2027-04-13,2027-04-21,8,29943.0,4990.5,USD,1,"Gol, American",
2026-09-11T08:51:54Z,CNF,JFK,2027-04-25,2027-05-03,8,29937.6,4989.6,USD,1,"Gol, American",
2026-09-11T08:52:44Z,CNF,JFK,2027-04-07,2027-04-19,12,29937.6,4989.6,USD,1,"Gol, American",
2026-09-11T08:53:20Z,CNF,JFK,2027-04-25,2027-05-07,12,29943.0,4990.5,USD,1,"Gol, American",
2026-09-11T08:53:25Z,CNF,JFK,2027-04-01,2027-04-09,8,29943.0,4990.5,USD,1,"Gol, American",
2026-09-11T08:53:40Z,CNF,JFK,2027-04-13,2027-04-25,12,29943.0,4990.5,USD,1,"Gol, American",
2026-09-11T08:53:49Z,CNF,JFK,2027-04-19,2027-05-01,12,29943.0,4990.5,USD,1,"Gol, American",
2026-09-11T08:54:11Z,CNF,JFK,2027-04-01,2027-04-13,12,29943.0,4990.5,USD,1,"Gol, American",
2026-09-11T13:07:12Z,CNF,EWR,2027-04-01,2027-04-09,8,36325.8,6054.3,USD,1,"Azul, United",
2026-09-11T13:07:17Z,CNF,EWR,2027-04-19,2027-04-27,8,40753.8,6792.3,USD,1,"COPA, United",
